,Dates,CENER.ATH,CNLCAP.ATH,TITC.ATH,AVAX.ATH,AVE.ATH,ADMIE.ATH,ALMY.ATH,ALPHA.ATH,AEGN.ATH,ASCO.ATH,TATT.ATH,VIO.ATH,BIOSK.ATH,VOSYS.ATH,BYTE.ATH,GEBKA.ATH,GEKTERNA.ATH,PPC.ATH,DOMIK.ATH,EEE.ATH,EKTER.ATH,ELIN.ATH,TELL.ATH,ELLAKTOR.ATH,ELPE.ATH,ELTON.ATH,ELHA.ATH,ENTER.ATH,EPSIL.ATH,EYAPS.ATH,ETE.ATH,EYDAP.ATH,EUPIC.ATH,EUROB.ATH,EXAE.ATH,IATR.ATH,IKTIN.ATH,ILYDA.ATH,INKAT.ATH,INLOT.ATH,INTERCO.ATH,INTET.ATH,INTRK.ATH,KAMP.ATH,KEKR.ATH,KEPEN.ATH,KLM.ATH,KMOL.ATH,QUAL.ATH,QUEST.ATH,KRI.ATH,LAVI.ATH,LAMDA.ATH,KYLO.ATH,LYK.ATH,MEVA.ATH,MERKO.ATH,MIG.ATH,MIN.ATH,MOH.ATH,BELA.ATH,BRIQ.ATH,MYTIL.ATH,NEWS.ATH,OLTH.ATH,PPA.ATH,OLYMP.ATH,OPAP.ATH,HTO.ATH,OTOEL.ATH,PAIR.ATH,PAP.ATH,PASAL.ATH,TPEIR.ATH,PERF.ENAX,PETRO.ATH,PLAT.ATH,PLAIS.ATH,PLAKR.ATH,PPAK.ATH,PROF.ATH,REVOIL.ATH,SAR.ATH,SPACE.ATH,SPIR.ATH,TENERGY.ATH,TRASTOR.ATH,FLEXO.ATH,FOYRK.ATH,FORTH.ATH
653,22/7/2019,1.53,10.4,19.046,0.53,0.36,2.12,1.105,1.593,8.1,2.935,0.4,4.14,0.394,2.24,1.23,0.82,6.11,2.37,0.169,30.5,1.8,1.88,14.4,1.98,9.16,1.84,2.0,1.075,1.696,5.06,2.334,7.73,4.84,0.84,4.801,2.32,1.244,0.456,1.795,0.496,6.2,0.64,1.072,1.245,3.66,1.63,1.01,2.42,0.237,6.766,5.56,0.31,8.849,3.22,1.36,1.31,56.8,0.136,0.26,22.22,17.73,2.216,11.11,0.46,29.8,23.8,2.52,9.941,12.38,5.88,0.26,1.723,1.073,2.65,3.4,7.5,2.4,4.22,12.4,3.72,3.746,0.765,8.4,5.5,0.276,7.054,0.96,7.296,5.4,0.276
654,23/7/2019,1.542,10.1,18.997,0.521,0.35,2.155,1.07,1.59,8.26,2.972,0.409,4.175,0.314,2.18,1.22,0.82,6.22,2.74,0.168,31.09,1.925,1.88,14.3,2.055,9.14,1.85,2.035,1.075,1.678,5.0,2.33,7.73,4.78,0.83,4.777,2.3,1.238,0.456,1.93,0.526,6.1,0.61,1.13,1.24,3.67,1.63,1.04,2.42,0.231,6.734,5.58,0.32,8.641,3.28,1.32,1.31,54.6,0.144,0.26,22.26,17.66,2.178,10.93,0.458,29.3,23.75,2.5,9.986,12.3,5.9,0.3,1.703,1.117,2.7,3.44,7.5,2.38,4.22,12.3,3.72,3.726,0.785,8.66,5.5,0.276,7.045,0.95,7.296,5.4,0.276
655,24/7/2019,1.598,10.1,18.967,0.532,0.31,2.195,1.075,1.603,8.28,2.963,0.411,4.225,0.379,2.18,1.35,0.825,6.54,2.82,0.168,30.85,1.96,1.84,14.22,2.125,9.3,1.86,2.03,1.033,1.635,4.9,2.32,7.76,4.75,0.845,4.83,2.3,1.231,0.39,1.91,0.546,6.15,0.64,1.16,1.23,3.57,1.63,1.04,2.46,0.24,6.734,5.54,0.32,8.726,3.34,1.425,1.25,54.4,0.142,0.25,22.26,17.37,2.197,10.92,0.454,29.7,23.15,2.49,9.941,12.44,5.98,0.31,1.703,1.192,2.74,3.48,7.5,2.4,4.26,12.4,3.66,3.726,0.795,8.55,5.4,0.268,7.103,0.95,7.296,5.4,0.276
656,25/7/2019,1.56,10.3,19.557,0.552,0.32,2.205,1.075,1.629,8.25,2.925,0.422,4.25,0.416,2.3,1.34,0.825,6.58,2.76,0.168,31.38,1.9,1.87,14.62,2.15,9.39,1.89,2.06,1.042,1.687,5.1,2.4,7.89,4.75,0.867,4.85,2.34,1.219,0.418,1.87,0.521,6.15,0.63,1.152,1.26,3.49,1.63,1.02,2.48,0.24,6.702,5.52,0.33,9.046,3.32,1.5,1.31,55.2,0.141,0.26,22.66,17.99,2.255,10.95,0.462,29.9,23.5,2.48,10.071,12.41,5.96,0.338,1.732,1.4,2.8,3.6,7.5,2.4,4.12,12.3,3.66,3.736,0.78,8.49,5.22,0.266,7.143,0.975,7.296,5.74,0.26
657,26/7/2019,1.532,10.3,19.518,0.573,0.314,2.21,1.075,1.65,8.16,2.925,0.417,4.27,0.43,2.3,1.36,0.84,6.62,2.762,0.168,31.54,1.88,1.87,14.5,2.145,9.51,1.9,2.07,1.05,1.687,5.24,2.468,7.99,4.76,0.865,4.83,2.34,1.23,0.424,1.83,0.527,6.2,0.7,1.172,1.27,3.47,1.63,1.02,2.44,0.238,6.894,5.46,0.33,9.14,3.28,1.5,1.37,57.6,0.142,0.26,22.36,17.97,2.274,11.18,0.43,29.9,24.1,2.45,10.301,12.44,5.94,0.33,1.791,1.311,2.808,3.52,7.5,2.38,4.2,12.3,3.58,3.706,0.83,8.5,5.3,0.264,7.123,1.0,6.998,5.66,0.23
658,29/7/2019,1.546,10.2,19.518,0.61,0.316,2.2,1.1,1.71,8.16,2.925,0.466,4.25,0.43,2.26,1.34,0.85,6.58,2.72,0.167,31.62,1.81,1.84,14.74,2.085,9.55,1.9,2.04,1.042,1.687,5.38,2.57,8.07,4.76,0.879,4.811,2.33,1.225,0.394,1.83,0.521,6.2,0.76,1.18,1.27,3.345,1.63,0.994,2.44,0.238,6.894,5.32,0.308,8.933,3.38,1.515,1.32,57.8,0.142,0.26,22.72,17.93,2.293,11.23,0.468,29.8,23.95,2.45,10.161,12.44,5.92,0.248,1.757,1.564,2.89,3.5,7.5,2.35,4.17,12.3,3.48,3.726,0.83,8.5,5.28,0.264,7.103,0.95,6.899,5.66,0.276
659,30/7/2019,1.504,10.4,19.38,0.581,0.316,2.245,1.28,1.715,8.12,2.869,0.48,4.21,0.398,2.26,1.32,0.86,6.48,2.65,0.167,31.63,1.745,1.84,14.7,2.1,9.43,1.9,1.98,1.042,1.687,5.38,2.577,8.05,4.71,0.875,4.772,2.26,1.225,0.37,1.81,0.523,6.3,0.77,1.15,1.24,3.4,1.6,0.996,2.44,0.234,7.01,5.2,0.284,8.82,3.38,1.45,1.26,57.8,0.139,0.232,22.2,17.88,2.388,11.03,0.424,30.0,23.6,2.37,10.111,12.3,5.9,0.308,1.732,1.49,2.902,3.5,7.5,2.25,4.17,12.2,3.56,3.677,0.81,8.6,5.28,0.27,7.123,0.95,6.899,5.72,0.3
660,31/7/2019,1.512,10.4,19.282,0.598,0.316,2.265,1.41,1.763,8.17,2.925,0.49,4.2,0.415,2.36,1.33,0.83,6.42,2.82,0.167,31.3,1.775,1.87,14.7,2.175,9.46,1.91,2.05,1.067,1.687,5.62,2.65,8.27,4.75,0.881,4.806,2.35,1.223,0.374,1.865,0.577,6.3,0.74,1.182,1.245,3.425,1.6,0.996,2.44,0.171,7.01,5.5,0.3,8.849,3.38,1.485,1.28,55.4,0.157,0.24,22.4,17.65,2.408,11.02,0.458,30.0,24.8,2.32,10.171,12.44,5.9,0.328,1.762,1.49,3.1,3.42,7.5,2.26,4.1,12.6,3.68,3.667,0.82,8.67,5.28,0.27,7.103,1.04,6.899,5.76,0.31
661,1/8/2019,1.512,10.4,19.125,0.587,0.31,2.26,1.48,1.74,8.19,3.038,0.47,4.195,0.39,2.3,1.36,0.825,6.45,2.81,0.167,31.6,1.785,1.86,14.5,2.18,9.44,1.9,2.05,1.067,1.704,5.66,2.6,8.32,4.7,0.853,4.821,2.3,1.25,0.398,1.86,0.56,6.25,0.725,1.162,1.24,3.33,1.6,1.0,2.0,0.206,6.856,5.42,0.3,8.943,3.38,1.635,1.28,56.8,0.152,0.24,22.24,17.56,2.446,11.11,0.426,29.7,24.8,2.43,10.041,12.31,5.86,0.31,1.747,1.49,3.066,3.5,7.5,2.25,4.29,12.6,3.76,3.657,0.865,8.7,5.0,0.29,7.103,0.96,6.899,5.69,0.36
662,2/8/2019,1.47,10.3,19.085,0.602,0.308,2.2,1.64,1.675,8.18,2.972,0.455,4.065,0.394,2.3,1.34,0.825,6.4,2.7,0.167,31.14,1.84,1.84,14.4,2.22,9.43,1.895,2.04,1.067,1.704,5.56,2.58,8.33,4.7,0.826,4.743,2.25,1.24,0.4,1.85,0.546,6.25,0.74,1.13,1.21,3.3,1.61,0.986,1.72,0.2,6.74,5.38,0.3,8.83,3.42,1.66,1.28,55.8,0.147,0.24,23.0,17.3,2.446,10.91,0.44,29.7,24.75,2.44,9.991,12.25,5.84,0.31,1.713,1.49,2.95,3.52,7.45,2.3,4.26,12.7,3.72,3.657,0.86,8.6,5.18,0.318,7.054,0.96,7.444,5.51,0.36
663,5/8/2019,1.412,10.3,18.653,0.61,0.308,2.085,1.96,1.54,8.07,2.972,0.411,3.88,0.389,2.3,1.29,0.89,6.3,2.602,0.167,30.11,1.76,1.84,14.1,2.145,9.22,1.85,1.92,1.083,1.704,5.4,2.368,7.9,4.64,0.765,4.53,2.17,1.26,0.362,1.74,0.511,6.2,0.84,1.056,1.13,2.85,1.61,0.946,1.94,0.2,6.567,5.28,0.282,8.453,3.48,1.6,1.29,55.0,0.14,0.24,22.1,16.62,2.369,10.4,0.44,29.6,23.7,2.42,9.901,12.28,5.8,0.388,1.654,1.49,2.648,3.4,7.45,2.2,4.25,12.2,3.54,3.548,0.86,8.17,5.18,0.318,6.947,0.955,7.444,5.47,0.39
664,6/8/2019,1.412,10.2,18.574,0.595,0.29,2.045,1.74,1.5,8.12,2.935,0.417,3.82,0.38,2.3,1.27,0.89,6.23,2.63,0.167,30.29,1.74,1.82,14.28,2.125,9.05,1.83,1.856,1.083,1.704,5.4,2.292,7.95,4.71,0.746,4.53,2.09,1.23,0.362,1.715,0.515,6.2,0.83,1.046,1.16,3.0,1.61,0.92,2.0,0.2,6.625,5.28,0.3,8.237,3.56,1.575,1.29,54.2,0.143,0.286,21.82,16.61,2.35,10.16,0.418,29.6,23.6,2.5,9.752,12.3,5.78,0.386,1.625,1.49,2.694,3.4,7.4,2.19,4.16,12.2,3.74,3.509,0.86,7.8,5.02,0.296,6.956,0.955,7.444,5.48,0.37
665,7/8/2019,1.372,10.2,18.378,0.582,0.306,1.996,1.445,1.48,8.07,2.972,0.38,3.72,0.384,2.3,1.26,0.86,6.19,2.53,0.167,30.31,1.68,1.82,14.14,2.09,9.0,1.8,1.856,0.975,1.704,5.4,2.28,7.87,4.7,0.745,4.481,2.06,1.22,0.36,1.71,0.476,6.15,0.78,0.98,1.16,2.925,1.61,0.898,2.0,0.2,6.567,5.12,0.326,8.096,3.5,1.52,1.34,54.0,0.136,0.286,21.8,16.7,2.197,10.23,0.43,29.6,23.2,2.44,9.697,12.23,5.74,0.304,1.586,1.49,2.634,3.3,7.4,2.15,4.17,12.2,3.74,3.499,0.89,7.72,5.12,0.298,6.858,0.965,7.296,5.4,0.38
666,8/8/2019,1.398,10.2,19.085,0.581,0.29,2.015,1.39,1.489,8.06,2.935,0.4,3.84,0.372,2.28,1.24,0.85,6.24,2.528,0.159,30.2,1.695,1.81,14.3,2.14,9.18,1.78,1.86,1.058,1.704,5.38,2.279,8.0,4.85,0.759,4.491,2.11,1.198,0.36,1.695,0.49,6.15,0.72,1.01,1.16,3.1,1.61,0.888,2.0,0.203,6.47,5.16,0.312,8.274,3.5,1.49,1.34,56.0,0.136,0.286,21.8,16.7,2.178,10.38,0.43,29.6,23.55,2.46,9.692,12.35,5.8,0.39,1.557,1.415,2.764,3.3,7.35,2.18,4.15,11.8,3.6,3.499,0.845,8.04,5.12,0.278,6.907,1.06,7.246,5.49,0.38
667,9/8/2019,1.398,10.2,19.203,0.566,0.298,2.025,1.2,1.46,8.02,2.925,0.4,3.785,0.38,2.28,1.26,0.85,6.22,2.516,0.159,29.9,1.67,1.81,14.12,2.15,9.11,1.775,1.814,1.058,1.704,5.12,2.275,7.87,4.79,0.745,4.442,2.12,1.18,0.364,1.73,0.475,6.15,0.705,0.968,1.17,3.01,1.61,0.888,2.0,0.2,6.432,5.2,0.282,8.378,3.46,1.47,1.34,58.0,0.132,0.286,21.8,16.56,2.178,10.16,0.42,29.9,23.1,2.4,9.812,12.19,5.8,0.478,1.547,1.415,2.73,3.42,7.35,2.18,4.18,11.8,3.56,3.588,0.915,7.95,5.08,0.268,6.849,1.0,7.246,5.4,0.38
668,12/8/2019,1.354,10.1,19.4,0.508,0.29,1.99,1.01,1.385,8.02,2.954,0.368,3.685,0.359,2.26,1.19,0.83,6.16,2.564,0.159,30.19,1.705,1.79,13.98,2.125,9.27,1.745,1.75,1.067,1.704,5.14,2.145,8.0,4.72,0.72,4.341,2.12,1.06,0.364,1.7,0.46,6.1,0.65,0.94,1.15,2.87,1.61,0.85,2.0,0.2,6.316,5.08,0.27,8.463,3.28,1.635,1.25,56.8,0.126,0.286,21.48,16.44,2.178,10.2,0.42,29.6,23.0,2.21,9.757,12.2,5.74,0.62,1.367,1.415,2.562,3.26,7.3,2.17,4.16,11.9,3.64,3.332,0.845,8.19,5.08,0.25,6.77,0.93,7.246,5.34,0.386
